Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0037,0.0263,0.075,0.222,0.445,2.24,2.7,3.61371729139783,4.53866902895312,6.58,8.9,15,21.5,24.66,28.3,32.42,36.6,39.93,40.0099967810008,45.8799942529424,49.7645,54.0783206550943,55.7631556336233,59.5039512852713,63.7472821822484,70.6812779273268,73.6574757545465,78.45526895,83.5904265,85.50309124,89.20335498,91.29048551,,
RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.000673,0.0134,0.0538,0.148,0.27,0.473,0.813,1.02,1.97723010897647,2.94436778664985,4.12827181796644,8.29886061553908,12.8593889008473,15.22669983,18.02330017,24.66,32,42.55,49,58,66,67.97,70.5175682574413,70.0992412263947,73.091434617897,76.0081385339105,80.8647218726954,82.6421618670668,84.99466978,88.21384578,90.41799163,92.24496346,94.36495368,,
SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.36,1.43,1.42,1.41,42.8,48.7994953055999,50.3416690898517,50.8348399446985,50.003453038674,50.5663430420712,,50.2086593635889,50.3648221088655,54.52,54.21,,49.6,,,,,55,60.18230057,,67.85070038,77.94999695,81.66999817,97.32790375,97.33640289,97.35220337,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,26.29999924,27.2,33.15,35.6,38.1,40.9,42.2,48.09999847,53.450364175,62.0750804639377,65.3170254003801,67.0568413716938,70.3308355269141,73.360709154564,77.4167736219802,78.36804864,81.16588116,83.53825397,85.35746686,87.69071294,,
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.128,0.319,0.523,0.783,1.17,2.69,5.44,9.42680320061637,12.5283218484637,40.14,43.04,52.89,55.19,56.08,61.8,66.05,70,75.71,74.4399971746757,76.7099901181121,77.8826,79.9843017656729,77.6346820339875,80.475857275668,81.6256675172655,80.4489224826099,82.8536605021784,89.92090413,88.92560523,89.06766196,87.2131343,89.82507032,,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.41,1.07,2.9,5.07,7.59,10.1,12.6,15.1102595640388,30.1759104700854,27.8388854180687,31.8547930120441,40.81,46.81,54.01,56.74,58,64,70,67.3399948092396,68.3499745287825,72.6756,71.5862515855601,73.0986599745829,75.4985042610791,78.8854263554775,79.7499765956562,83.1083578026717,86.60130109,89.00399524,88.91248552,90.37794678,90.76355487,,
SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584,1.16,1.5,1.72,3.41,5.1,9.04,23.7,33.5,41.4,45.6876522122282,51.7656649372808,70.57,79.13,83.89,84.83,87.76,82.01,90,91,90,92.7699860554046,93.1799880065108,94.7836,92.5236065037579,90.6101966398616,89.6509476102355,93.0062669652127,89.2469631588137,94.4934434072202,94.53943122,94.6703163,95.00970335,95.70327461,95.52930428,95.76629783,
TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.00846,0.0499,0.0817,0.193,0.474,0.699,2.29,3.761685035075,5.18948146078506,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.065710430925,45.13,46.25,51.0373665521645,53.7449791423583,58.3477340145685,64.6846176835371,71.0427608433809,73.9767022871511,77.6695605,81.40843745,83.43716576,85.96074155,87.3078767,89.77024003,
UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.000777,0.0136,0.0431,0.0986,0.199,0.301,0.405,0.716183762031043,1.23875954748114,1.87388511643427,3.14812758815439,3.4894778812677,3.749799967,4.50612456357379,6.55,11,17.9,23.3,28.7082628400713,35.27,40.954128997,46.2359754571651,48.8846436813218,53.0009695981884,58.8894794459775,62.5531553933869,70.1248442995263,75.03790912,79.21829353,80.47429657,81.58059692,82.47489929,,
KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8935968102791,89.4430319734879,,,,,,,,
